#options: 1920x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=24 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=2100 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:33.09 aq:19.13 tex:566775 mv:153861 misc:364 imb:8160 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:35.14 aq:19.32 tex:3852 mv:1424 misc:2484 imb:41 pmb:360 smb:7759 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:35.14 aq:22.16 tex:22 mv:5 misc:397 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:35.14 aq:30.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:35.14 aq:30.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:34.74 aq:18.86 tex:2807 mv:842 misc:1799 imb:25 pmb:229 smb:7906 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:34.94 aq:22.16 tex:22 mv:5 misc:413 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:35.04 aq:30.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:34.84 aq:30.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:34.30 aq:18.45 tex:2789 mv:748 misc:1759 imb:21 pmb:213 smb:7926 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:34.52 aq:22.16 tex:22 mv:5 misc:413 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:34.63 aq:30.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:34.41 aq:29.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:33.84 aq:18.14 tex:3393 mv:767 misc:2000 imb:22 pmb:263 smb:7875 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:34.07 aq:21.16 tex:22 mv:4 misc:414 imb:0 pmb:1 smb:8159 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:34.19 aq:29.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:33.96 aq:29.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:33.36 aq:18.46 tex:4126 mv:1131 misc:2367 imb:25 pmb:330 smb:7805 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:33.60 aq:21.68 tex:37 mv:7 misc:420 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:33.72 aq:29.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:33.48 aq:28.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:32.85 aq:18.48 tex:4850 mv:1292 misc:2514 imb:24 pmb:371 smb:7765 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:33.10 aq:20.85 tex:38 mv:7 misc:419 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:33.23 aq:28.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:32.98 aq:28.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:36.85 aq:20.77 tex:208 mv:72 misc:576 imb:2 pmb:20 smb:8138 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:34.85 aq:22.68 tex:37 mv:8 misc:419 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:33.85 aq:29.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:35.85 aq:31.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:34.71 aq:18.38 tex:288 mv:86 misc:682 imb:1 pmb:38 smb:8121 d:- ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:35.78 aq:23.68 tex:37 mv:8 misc:419 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:36.32 aq:31.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:35.25 aq:30.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:30.24 aq:17.00 tex:54932 mv:10238 misc:7702 imb:153 pmb:2569 smb:5438 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:32.47 aq:20.68 tex:37 mv:7 misc:420 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:33.59 aq:29.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:31.36 aq:26.00 tex:0 mv:0 misc:384 imb:0 pmb:0 smb:8160 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:27.08 aq:14.18 tex:315007 mv:22807 misc:5258 imb:414 pmb:6441 smb:1305 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:28.66 aq:19.83 tex:185 mv:56 misc:559 imb:0 pmb:22 smb:8138 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:29.45 aq:24.00 tex:5 mv:20 misc:439 imb:0 pmb:6 smb:8154 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:27.87 aq:21.52 tex:39 mv:7 misc:410 imb:0 pmb:2 smb:8158 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:24.62 aq:12.01 tex:365720 mv:13785 misc:5279 imb:190 pmb:6612 smb:1358 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:25.85 aq:18.57 tex:384 mv:153 misc:767 imb:0 pmb:57 smb:8103 d:s ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:26.47 aq:19.41 tex:82 mv:82 misc:644 imb:0 pmb:38 smb:8122 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:25.23 aq:18.10 tex:64 mv:16 misc:448 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:22.57 aq:10.33 tex:406320 mv:8373 misc:6203 imb:136 pmb:6253 smb:1771 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:23.59 aq:14.55 tex:917 mv:300 misc:1287 imb:0 pmb:144 smb:8016 d:s ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:24.10 aq:18.36 tex:205 mv:146 misc:1025 imb:0 pmb:102 smb:8058 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:23.08 aq:16.88 tex:212 mv:33 misc:523 imb:0 pmb:19 smb:8141 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:20.75 aq:8.86 tex:411941 mv:6095 misc:6572 imb:95 pmb:6124 smb:1941 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:21.66 aq:13.41 tex:2230 mv:619 misc:2423 imb:0 pmb:377 smb:7783 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:22.12 aq:15.51 tex:541 mv:230 misc:2005 imb:0 pmb:285 smb:7875 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:21.21 aq:14.15 tex:397 mv:40 misc:619 imb:0 pmb:34 smb:8126 d:- ref:0 ;
